代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
128021.SZ,兄弟转债,2018-11-22,94.606,94.907,99.23,94.907,98.4,3.794,4.010316470414138,360,0.295890410959,5.016438356164383,0.3048780487804878,2.4054,86.87166599,11.52833401,13.27053404423837,5.35,18.69158878504673,94.57943925233644,3.820560747663552,4.039525691699605,43.5257,2.0938,-3.820560747663552,108.8725974971215,6,2017-11-28,0.3,深交所,可转债
113509.SH,新泉转债,2018-11-22,99.35,99.05,100.12,99.05,100.0,0.65,0.6542526421741318,172,0.141369863014,2.736986301369863,0.3,1.9585,89.0025892,10.9974108,12.35628187769621,19.4,5.154639175257732,92.73195876288659,7.268041237113402,7.837687604224569,13.4774,2.733,-7.268041237113402,104.1901809783379,6,2018-06-04,0.3,上交所,可转债
128038.SZ,利欧转债,2018-11-22,100.397,100.397,101.85,100.02,100.997,0.6,0.5976274191459904,246,0.202191780822,1.353424657534247,0.2970385258968088,2.3614,94.27096499,6.72603501,7.134789604321415,1.72,58.13953488372093,101.1627906976744,-0.1657906976744186,-0.1638850574712644,28.9149,1.1598,0.1657906976744186,107.3106557341441,6,2018-03-22,0.3,深交所,可转债
128043.SZ,东音转债,2018-11-22,97.46,97.505,98.7,97.505,98.042,0.582,0.5971680689513647,113,0.123835616438,1.947945205479452,0.4079884131290671,2.9797,91.648812,6.393188,6.975745632141964,11.43,8.748906386701663,97.46281714785651,0.5791828521434821,0.5942603231597846,19.7956,2.7217,-0.5791828521434821,106.3437867016285,6,2018-08-02,0.4,深交所,可转债
128018.SZ,时达转债,2018-11-22,87.96,87.788,88.982,87.39,88.321,0.361,0.4104138244656662,17,0.023287671233,2.931506849315069,0.5661167785690833,5.3635,89.22930143,-0.90830143,-1.017940760987083,11.83,8.4530853761623,54.7759932375317,33.5450067624683,61.24034413580247,57.9493,1.4132,-33.5450067624683,61.38789877280752,6,2017-11-06,0.3,深交所,可转债
113017.SH,吉视转债,2018-11-22,92.75,92.81,93.19,92.63,93.1,0.35,0.3773584905660378,331,0.272054794521,5.095890410958904,0.322234156820623,3.5084,89.31545179,3.78454821,4.237282725612018,2.96,33.78378378378378,76.35135135135135,16.74864864864865,21.93628318584071,29.4793,1.0616,-16.74864864864865,85.48504186136789,6,2017-12-27,0.3,上交所,可转债
128036.SZ,金农转债,2018-11-22,87.745,87.68,88.179,87.68,88.075,0.33,0.3760898056869337,259,0.283835616438,5.293150684931507,0.4541583877377236,4.6254,59.49311674,28.58188326,48.04233636793661,9.62,10.3950103950104,66.00831600831602,22.06668399168399,33.43015748031496,-33.1281,1.6662,-22.06668399168399,110.9511816245719,6,2018-03-09,0.4,深交所,可转债
128025.SZ,特一转债,2018-11-22,97.881,98.59,98.888,97.51,98.248,0.367,0.3749450863804007,352,0.289315068493,5.038356164383561,0.3053497272209104,2.4267,78.97498248,19.27301752,24.40395289088009,16.1,6.211180124223603,91.18012422360249,7.067875776397515,7.751553133514986,18.1386,2.9348,-7.067875776397515,115.4544405840082,6,2017-12-06,0.3,深交所,可转债
128032.SZ,双环转债,2018-11-22,93.99,93.596,95.0,93.596,94.3,0.31,0.3298223215235663,333,0.273698630137,2.701369863013698,0.3181336161187699,3.3443,90.01754959,4.28245041,4.757350571644238,9.99,10.01001001001001,69.76976976976977,24.53023023023023,35.15882352941176,18.8665,1.4502,-24.53023023023023,77.50685292762118,6,2017-12-25,0.3,深交所,可转债
113014.SH,林洋转债,2018-11-22,94.2,94.0,94.96,94.0,94.5,0.3,0.3184713375796178,27,0.03698630137,2.852054794520548,0.5291005291005291,2.9656,89.51306891,4.98693109,5.571176534025505,8.76,11.41552511415525,56.39269406392694,38.10730593607306,67.5748987854251,10.1074,0.9462,-38.10730593607306,62.99939746298543,6,2017-10-27,0.3,上交所,可转债
128040.SZ,华通转债,2018-11-22,89.349,89.35,89.9,89.201,89.61,0.261,0.2921129503407984,162,0.177534246575,4.271232876712329,0.4463787523713871,4.4028,84.57484795,5.03515205,5.953486375732823,11.45,8.733624454148472,73.27510917030568,16.33489082969432,22.29255065554231,47.9709,2.7441,-16.33489082969432,86.6393625840455,6,2018-06-14,0.4,深交所,可转债
123011.SZ,德尔转债,2018-11-22,104.8,106.01,106.83,104.35,105.098,0.298,0.2843511450381679,128,0.175342465753,5.652054794520548,0.4757464461740471,2.0519,79.77988758,25.31811242,31.73495625023542,34.96,2.860411899313501,109.3821510297483,-4.284151029748283,-3.916682008368201,20.2236,2.2061,4.284151029748283,137.1049199838297,6,2018-07-18,0.5,深交所,可转债
113518.SH,顾家转债,2018-11-22,102.51,102.51,103.32,102.33,102.8,0.29,0.2828992293434787,72,0.078904109589,1.764383561643836,0.3891050583657588,2.0348,92.17754055,10.62245945,11.52391286057154,52.38,1.909125620465827,92.91714394807178,9.882856051928217,10.63620299979453,20.0133,4.9491,-9.882856051928217,100.8023683357776,6,2018-09-12,0.4,上交所,可转债
110041.SH,蒙电转债,2018-11-22,98.86,98.85,99.11,98.7,99.11,0.25,0.2528828646570908,336,0.368219178082,2.953424657534247,0.4035919685198264,1.3696,92.0518263,7.0581737,7.667608545861083,2.92,34.24657534246575,77.05479452054794,22.05520547945206,28.62275555555556,18.221,1.2337,-22.05520547945206,83.708056230654,6,2017-12-22,0.4,上交所,可转债
128010.SZ,蔚蓝转债,2018-11-22,96.462,95.822,96.697,95.822,96.695,0.233,0.2415458937198068,305,0.835616438356,2.271232876712329,1.034179637002948,2.5012,94.34174006,2.35325994,2.49439955051005,9.28,10.77586206896552,50.32327586206897,46.37172413793103,92.14766595289079,15.6034,1.7585,-46.37172413793103,53.3414751837989,6,2016-01-22,0.5,深交所,可转债
113015.SH,隆基转债,2018-11-22,104.3,104.3,105.3,103.8,104.54,0.24,0.2301054650047939,21,0.028767123288,0.7835616438356164,0.4009738685591927,1.1093,97.12120496,7.41879504,7.638697484298593,22.98,4.351610095735422,74.97824194952132,29.56175805047868,39.42711549622751,21.3248,3.2251,-29.56175805047868,77.20069163104144,6,2017-11-02,0.3,上交所,可转债
110044.SH,广电转债,2018-11-22,93.84,93.79,94.3,93.56,94.03,0.19,0.2024722932651321,149,0.163287671233,5.594520547945206,0.425396150164841,3.4596,85.73444957,8.29555043,9.675865969404626,6.91,14.47178002894356,83.50217076700434,10.52782923299566,12.60785095320624,22.0724,1.0935,-10.52782923299566,97.39628724020318,6,2018-06-27,0.4,上交所,可转债
123002.SZ,国祯转债,2018-11-22,109.45,109.8,111.5,109.573,109.666,0.216,0.1973503883051622,364,0.299178082192,5.005479452054795,0.2735578939689603,0.1729,86.91844227,22.74755773,26.17115210065304,8.72,11.46788990825688,107.454128440367,2.211871559633027,2.058433297758805,16.9029,2.5117,-2.211871559633027,123.6263854183854,6,2017-11-24,0.3,深交所,可转债
113009.SH,广汽转债,2018-11-22,102.92,102.9,103.24,102.85,103.1,0.18,0.1748931208705791,305,0.835616438356,3.167123287671233,0.9699321047526673,2.1135,97.74900522,5.35099478,5.474219167710933,14.74,6.784260515603799,70.62415196743555,32.47584803256445,45.98405379442843,8.1,1.4127,-32.47584803256445,72.25050711102833,6,2016-01-22,0.2,上交所,可转债
128013.SZ,洪涛转债,2018-11-22,89.2,89.2,89.439,89.2,89.352,0.152,0.1704035874439462,117,0.320547945205,3.682191780821918,1.11916912883875,6.5408,40.05460369,49.29739631,123.0754813891906,9.98,10.02004008016032,33.16633266533066,56.18566733466934,169.4057280966767,21.9162,1.1235,-56.18566733466934,82.8027982052184,6,2016-07-29,0.4,深交所,可转债
