代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
128049.SZ,华源转债,2024/11/14,155.0000,157.0010,186.0000,157.0000,186.0000,31.0000,20.00000000000000000000,354,2.901369863014,0.03551912568306010929,5.37634408602150537600,-1150.3719,109.82768539076,76.17231460924,69.35620498440234,7.370,13.5685210312075984,168.3853459972862958,17.6146540027137042,10.46091861402095084200,54.0943,2.6620,-17.6146540027137042,153.31775899508563,6.0000,2018/11/26,0.5000,深交所,可转债,AA-,0.426157
127104.SZ,姚记转债,2024/11/14,158.3030,162.0000,185.5550,161.9000,179.0970,20.7940,13.13556913008597436600,295,0.241643835616,5.19672131147540983607,0.16750699341697515900,-7.3955,89.203521877813,89.893478122187,100.77346300891467,20.610,4.8520135856380398,166.1329451722464823,12.9640548277535177,7.80342202102803737700,25.0670,4.2735,-12.9640548277535177,186.2403430660596,6.0000,2024/01/25,0.3000,深交所,可转债,A+,5.828908
117222.SZ,24广州数字科技EB,2024/11/14,106.0225,115.8500,115.8500,115.8500,115.8500,9.8275,9.26925888372751067000,203,0.166849315068,2.44657534246575342466,0.25895554596460940900,-3.6728,99.898909412864,15.951090587135994,15.967231955669348,14.320,6.9832402234636872,85.8240223463687151,30.0259776536312849,34.98551668022782747700,34.0170,2.4819,-30.0259776536312849,85.91087014941641,3.0000,2024/04/24,0.3000,深交所,可交换债券(私募),,30.0
113596.SH,城地转债,2024/11/14,208.1950,206.0000,238.8000,205.8000,223.9280,15.7330,7.55685775354835610800,110,0.602739726027,1.70136986301369863014,0.89314422492944160600,-34.3934,87.325316043889,136.60268395611098,156.42964737448594,8.280,12.0772946859903382,223.0676328502415459,0.8603671497584541,0.38569788846778559500,-61.8044,4.5460,-0.8603671497584541,255.44440370319364,6.0000,2020/07/28,0.4000,上交所,可转债,BBB,2.20174
123101.SZ,拓斯转债,2024/11/14,163.3000,162.0000,182.7410,157.5600,170.0000,6.7000,4.10287813839559093700,250,1.027397260274,2.31780821917808219178,0.88235294117647058800,-16.2972,107.33903224062,62.66096775938,58.37668409280421,12.800,7.8125000000000000,166.7968750000000000,3.2031250000000000,1.92037470725995316200,801.5734,4.2018,-3.2031250000000000,155.3925645855409,6.0000,2021/03/10,0.3000,深交所,可转债,AA,2.39745
123244.SZ,松原转债,2024/11/14,184.6000,184.2300,202.6800,182.0450,192.0000,7.4000,4.00866738894907909000,106,0.058082191781,5.71232876712328767123,0.10416666666666666700,-8.0131,85.497311579457,106.502688420543,124.56846473068879,28.700,3.4843205574912892,116.4808362369337979,75.5191637630662021,64.83398145378402633700,29.7364,6.1788,-75.5191637630662021,136.23918002226566,6.0000,2024/08/01,0.2000,深交所,可转债,A+,4.1
127051.SZ,博杰转债,2024/11/14,123.8000,124.2490,129.8000,123.7020,128.6800,4.8800,3.94184168012924071100,364,0.994520547945,3.00819672131147540984,0.77712154180913894900,-2.3218,108.51654137671,20.163458623290012,18.581000064583268,26.820,3.7285607755406413,126.1744966442953020,2.5055033557046980,1.98574468085106384100,2288.1636,2.9914,-2.5055033557046980,116.27213238052488,6.0000,2021/11/17,0.4000,深交所,可转债,AA-,5.238477
117205.SZ,23希望E1,2024/11/14,97.8000,102.0500,107.4690,101.4000,101.5000,3.7000,3.78323108384458077700,238,0.978082191781,1.35068493150684931507,1.47783251231527093600,6.5152,108.14932193387,-6.649321933869999,-6.148278893450534,14.450,6.9204152249134948,68.6505190311418685,32.8494809688581315,47.85030241935483873600,220.6777,2.1148,-32.8494809688581315,63.47753069882358,3.0000,2023/03/22,1.5000,深交所,可交换债券(私募),,65.0
127074.SZ,麦米转2,2024/11/14,152.8000,152.8000,171.7590,151.2220,157.5000,4.7000,3.07591623036649214700,33,0.090410958904,0.06010928961748633880,0.09393346379647619000,-604.1415,99.990830035415,57.509169964585,57.51444401873278,30.580,3.2701111837802485,158.0117724002616089,-0.5117724002616089,-0.32388245033112583100,46.4870,5.5936,0.5117724002616089,158.02626335264605,6.0000,2022/10/13,0.3000,深交所,可转债,AA-,3.352163
127019.SZ,国城转债,2024/11/14,112.7990,114.1140,119.9560,114.1000,116.0000,3.2010,2.83779111516946072200,123,0.606575342466,1.66575342465753424658,1.55172413793103448300,-2.2105,105.99873045376,10.001269546239996,9.435272954144356,12.580,7.9491255961844197,110.4928457869634340,5.5071542130365660,4.98417266187050361800,223.9908,5.3331,-5.5071542130365660,104.23978222565968,6.0000,2020/07/15,0.3000,深交所,可转债,AA-,8.486534
